"Time stamp","Estimate rec. thermal power TO HTF | (MWt)","Resource Solar Azimuth | (deg)","Resource Solar Zenith | (deg)","Field optical efficiency before defocus"
"Jan 16, 04:00 pm",86.4757,234.187,80.184,0.25057
"Jan 16, 05:00 pm",40.2651,243.842,89.9153,0
"Jan 16, 06:00 pm",28.6214,252.534,101.518,0
"Jan 16, 07:00 pm",15.8313,260.837,113.089,0
"Jan 16, 08:00 pm",0,269.435,124.935,0
"Jan 16, 09:00 pm",0,279.39,136.789,0
"Jan 16, 10:00 pm",0,292.877,148.22,0
"Jan 16, 11:00 pm",0,315.305,158.141,0
"Jan 17, 12:00 am",0,355.89,163.252,0
"Jan 17, 01:00 am",0,39.2773,159.472,0
"Jan 17, 02:00 am",0,64.1471,150.03,0
"Jan 17, 03:00 am",0,78.6099,138.738,0
"Jan 17, 04:00 am",0,88.9508,126.91,0
"Jan 17, 05:00 am",0,97.6802,115.032,0
"Jan 17, 06:00 am",0,105.972,103.385,0
"Jan 17, 07:00 am",0,114.551,92.2179,0
"Jan 17, 08:00 am",0,124.001,81.721,0.185069
"Jan 17, 09:00 am",0,134.866,72.5707,0.648132
"Jan 17, 10:00 am",278.751,147.607,65.1143,0.629388
"Jan 17, 11:00 am",253.927,162.359,60.0633,0.589117
"Jan 17, 12:00 pm",226.907,178.56,58.0754,0.566416
"Jan 17, 01:00 pm",244.027,194.897,59.4667,0.582355
"Jan 17, 02:00 pm",290.198,209.978,64.0123,0.621927
"Jan 17, 03:00 pm",327.254,223.089,71.0915,0.659915
"Jan 17, 04:00 pm",87.748,234.269,79.9901,0.259534
"Jan 17, 05:00 pm",40.2485,243.943,89.7647,0
"Jan 17, 06:00 pm",28.5578,252.652,101.34,0
"Jan 17, 07:00 pm",15.7053,260.973,112.917,0
"Jan 17, 08:00 pm",0,269.592,124.765,0
"Jan 17, 09:00 pm",0,279.573,136.616,0
"Jan 17, 10:00 pm",0,293.083,148.036,0
"Jan 17, 11:00 pm",0,315.461,157.935,0
"Jan 18, 12:00 am",0,355.672,163.047,0
"Jan 18, 01:00 am",0,38.7909,159.343,0
"Jan 18, 02:00 am",0,63.7432,149.957,0
"Jan 18, 03:00 am",0,78.293,138.689,0
"Jan 18, 04:00 am",0,88.6873,126.867,0
"Jan 18, 05:00 am",0,97.4481,114.986,0
"Jan 18, 06:00 am",0,105.758,103.329,0
"Jan 18, 07:00 am",0,114.347,92.1472,0
"Jan 18, 08:00 am",0,123.803,81.6282,0.187843
"Jan 18, 09:00 am",0,134.675,72.4526,0.636702
"Jan 18, 10:00 am",311.414,147.432,64.9666,0.630662
"Jan 18, 11:00 am",281.125,162.216,59.8852,0.590804
"Jan 18, 12:00 pm",253.784,178.467,57.8727,0.568281
"Jan 18, 01:00 pm",265.606,194.864,59.2508,0.583788
"Jan 18, 02:00 pm",317.113,209.999,63.7951,0.62278
"Jan 18, 03:00 pm",353.594,223.151,70.8811,0.660388
"Jan 18, 04:00 pm",99.5748,234.358,79.7902,0.268718
"Jan 18, 05:00 pm",40.1634,244.052,89.5938,0
"Jan 18, 06:00 pm",28.3243,252.778,101.159,0
"Jan 18, 07:00 pm",15.3614,261.116,112.743,0
"Jan 18, 08:00 pm",0,269.757,124.594,0
"Jan 18, 09:00 pm",0,279.765,136.442,0
"Jan 18, 10:00 pm",0,293.3,147.85,0
"Jan 18, 11:00 pm",0,315.63,157.725,0
"Jan 19, 12:00 am",0,355.47,162.836,0
"Jan 19, 01:00 am",0,38.3069,159.205,0
"Jan 19, 02:00 am",0,63.3347,149.877,0
"Jan 19, 03:00 am",0,77.9708,138.633,0
"Jan 19, 04:00 am",0,88.419,126.818,0
"Jan 19, 05:00 am",0,97.2118,114.934,0
"Jan 19, 06:00 am",0,105.541,103.268,0
"Jan 19, 07:00 am",0,114.14,92.0703,0
"Jan 19, 08:00 am",0,123.602,81.5323,0
"Jan 19, 09:00 am",0,134.483,72.3297,0
"Jan 19, 10:00 am",0,147.256,64.8135,0
"Jan 19, 11:00 am",0,162.073,59.7018,0.592509
"Jan 19, 12:00 pm",0,178.377,57.6648,0.570182
"Jan 19, 01:00 pm",0,194.836,59.0304,0.585266
