"Time stamp","System power generated | (kW)","Estimated receiver thermal power TO HTF | (MWt)","Resource beam normal irradiance | (W/m2)","Predicted clear-sky beam normal irradiance | (W/m2)"
"Jan 17, 06:00 pm",117380,0,0,0
"Jan 17, 07:00 pm",117554,0,0,0
"Jan 17, 08:00 pm",117505,0,0,0
"Jan 17, 09:00 pm",117443,0,0,0
"Jan 17, 10:00 pm",117353,0,0,0
"Jan 17, 11:00 pm",71735,0,0,0
"Jan 18, 12:00 am",-607.2,0,0,0
"Jan 18, 01:00 am",-607.2,0,0,0
"Jan 18, 02:00 am",-607.2,0,0,0
"Jan 18, 03:00 am",-607.2,0,0,0
"Jan 18, 04:00 am",-607.2,0,0,0
"Jan 18, 05:00 am",-607.2,0,0,0
"Jan 18, 06:00 am",-607.2,0,0,0
"Jan 18, 07:00 am",-607.2,0,0,0
"Jan 18, 08:00 am",-607.2,0,0,0
"Jan 18, 09:00 am",-3644.2,0,663,0
"Jan 18, 10:00 am",76408.1,463.102,860,0
"Jan 18, 11:00 am",111786,593.57,962,0
"Jan 18, 12:00 pm",110642,647.953,1001,0
"Jan 18, 01:00 pm",110227,664.938,1013,0
"Jan 18, 02:00 pm",110758,642.441,989,0
"Jan 18, 03:00 pm",111746,594.731,952,0
"Jan 18, 04:00 pm",117522,0,182,0
"Jan 18, 05:00 pm",117711,0,0,0
"Jan 18, 06:00 pm",117679,0,0,0
"Jan 18, 07:00 pm",117625,0,0,0
"Jan 18, 08:00 pm",117551,0,0,0
"Jan 18, 09:00 pm",117436,0,0,0
"Jan 18, 10:00 pm",26594,0,0,0
"Jan 18, 11:00 pm",-607.2,0,0,0
"Jan 19, 12:00 am",-607.2,0,0,0
"Jan 19, 01:00 am",-607.2,0,0,0
"Jan 19, 02:00 am",-607.2,0,0,0
"Jan 19, 03:00 am",-607.2,0,0,0
"Jan 19, 04:00 am",-607.2,0,0,0
"Jan 19, 05:00 am",-607.2,0,0,0
"Jan 19, 06:00 am",-607.2,0,0,0
"Jan 19, 07:00 am",-607.2,0,0,0
"Jan 19, 08:00 am",-607.2,0,0,0
"Jan 19, 09:00 am",-607.2,0,0,0
"Jan 19, 10:00 am",-607.2,0,46,0
"Jan 19, 11:00 am",-3466.33,0,334,0
"Jan 19, 12:00 pm",12396.3,163.431,289,0
"Jan 19, 01:00 pm",-818.16,0,163,0
"Jan 19, 02:00 pm",-607.2,0,76,0
"Jan 19, 03:00 pm",-607.2,0,17,0
"Jan 19, 04:00 pm",-607.2,0,0,0
"Jan 19, 05:00 pm",-607.2,0,0,0
"Jan 19, 06:00 pm",-607.2,0,0,0
"Jan 19, 07:00 pm",-607.2,0,0,0
"Jan 19, 08:00 pm",-607.2,0,0,0
"Jan 19, 09:00 pm",-607.2,0,0,0
"Jan 19, 10:00 pm",-607.2,0,0,0
"Jan 19, 11:00 pm",-607.2,0,0,0
"Jan 20, 12:00 am",-607.2,0,0,0
"Jan 20, 01:00 am",-607.2,0,0,0
"Jan 20, 02:00 am",-607.2,0,0,0
"Jan 20, 03:00 am",-607.2,0,0,0
"Jan 20, 04:00 am",-607.2,0,0,0
"Jan 20, 05:00 am",-607.2,0,0,0
"Jan 20, 06:00 am",-607.2,0,0,0
"Jan 20, 07:00 am",-607.2,0,0,0
"Jan 20, 08:00 am",-607.2,0,0,0
"Jan 20, 09:00 am",-607.2,0,0,0
"Jan 20, 10:00 am",-607.2,0,0,0
"Jan 20, 11:00 am",-607.2,0,0,0
"Jan 20, 12:00 pm",-607.2,0,0,0
